,Unnamed: 0,site_id,space_total,space_occupied,space_vacant,long,lati,address,Cluster
0,0,0,37,0,37,121.53044,25.01493,汀洲路三段60巷2弄路側(A舍北側),4
1,1,1,32,0,32,121.52917,25.01466,臺大水源舍區C南側,4
2,2,2,18,0,18,121.52997,25.01411,思源街16號之1旁,4
3,3,3,10,1,9,121.52895,25.01391,臺大檔案展示館東北側,4
4,4,4,30,7,23,121.53009,25.01525,汀洲路三段60巷2弄路側(B舍北側),4
5,5,5,42,0,42,121.54531,25.01729,臺大男八舍東側,0
6,6,6,23,1,22,121.53759,25.01408,臺大仰萃樓東南側,2
7,7,7,45,13,32,121.53404,25.01839,農業陳列館北側,5
8,8,8,11,0,11,121.53673,25.01355,管理學院二號館北側,2
9,9,9,10,10,0,121.53844,25.01761,臺大土木工程學系所南側,1
10,10,10,53,0,53,121.53436,25.01547,臺大女一舍北側,5
11,11,11,30,8,14,121.53902,25.01937,臺大女九舍西南側,1
12,12,12,20,19,1,121.5376,25.01846,臺大小福樓東側,1
13,13,13,27,19,8,121.54251,25.01616,基隆路三段/基隆路三段156巷口北側,0
14,14,14,26,24,2,121.54059,25.01857,臺大工學院東南側,1
15,15,15,19,7,4,121.53783,25.02108,臺大天文數學館西南側,3
16,16,16,16,6,10,121.5404,25.01941,臺大心理學系南側,1
17,17,17,10,8,2,121.53585,25.01793,臺大文學院西側,5
18,18,18,10,0,10,121.53535,25.01627,臺大生化科技學系西側,5
19,19,19,10,0,10,121.53718,25.01666,臺大生物系館西側,5
20,20,20,33,7,26,121.53583,25.0198,臺大田徑場東側,3
21,21,21,20,0,20,121.53791,25.01595,臺大共同教學館東北側,2
22,22,22,12,2,10,121.53786,25.01566,臺大共同教學館東南側,2
23,23,23,27,2,25,121.53786,25.01511,臺大鹿鳴廣場人行道側,2
24,24,24,12,4,8,121.53798,25.01345,臺大公館停車場西北側,2
25,25,25,10,0,10,121.53635,25.01603,臺大行政大樓西側,5
26,26,26,10,7,3,121.54398,25.01754,臺大明達館西側,0
27,27,27,10,2,8,121.53574,25.01699,臺大物理文物廳北側,5
28,28,28,20,16,4,121.53633,25.02157,臺大物理系館南側,3
29,29,29,42,19,23,121.54145,25.02053,臺大社科院西側,0
30,30,30,25,12,13,121.54175,25.01987,臺大社會及社工館南側,0
31,31,31,10,7,3,121.53906,25.02074,臺大思亮館東南側,1
32,32,32,25,1,24,121.53583,25.01561,臺大椰林小舖旁,5
33,33,33,19,0,19,121.53992,25.02036,臺大計算機網路資訊中心南側,1
34,34,34,12,5,7,121.53868,25.01881,臺大原子與分子科學研究所東北側,1
35,35,35,10,0,10,121.53569,25.01751,臺大校史館南側,5
36,36,36,10,8,2,121.53825,25.01548,臺大動物博物館西側,2
37,37,37,40,15,17,121.53995,25.01761,第一學生活動中心東南側,1
38,38,38,22,3,17,121.54195,25.01922,臺大博理館西側,0
39,39,39,56,5,51,121.536,25.0189,臺大博雅館西側,3
40,40,40,10,4,6,121.53888,25.01704,臺大森林系學系北側,1
41,41,41,19,0,19,121.53455,25.01698,臺大植物魚類標本館一號館北側,5
42,42,42,10,0,10,121.53686,25.01539,臺大進修教育大樓,2
43,43,43,11,9,2,121.53909,25.01337,臺大雅頌廣場東南側,2
44,44,44,10,1,9,121.53781,25.01703,臺大園藝暨景觀學系北側,5
45,45,45,18,13,5,121.53846,25.0196,臺大新生教學館南側,1
46,46,46,10,5,5,121.54305,25.019,臺大新聞研究所南側,0
47,47,47,14,4,10,121.54247,25.01857,臺大電機二館南側,0
48,48,48,10,7,3,121.53928,25.01804,臺大圖書資訊館北側,1
49,49,49,30,11,19,121.54031,25.0169,臺大圖書館西南側,1
50,50,50,20,3,17,121.54347,25.01995,臺大霖澤館南側,0
51,51,51,10,6,4,121.54242,25.01791,臺大獸醫系館南側,0
52,52,52,40,21,19,121.53591,25.02112,臺大體育館東側,3
